combined_id,n_publications,n_data_generated,n_data_shared,n_data_linked,data_locations,n_code_generated,n_code_shared,code_locations,nserc_top_award_all,nserc_top_year_all,nserc_top_z_all,n_awards_nserc
jeanbenoit_charron_mcgilluniversity,1,1,1,0,Supplementary Information,1,0,,47000,2020,0.5513203842787795,1
michael_domaratzki_universityofwesternontario,1,1,1,1,"Online,Supplementary Information",1,1,Online,42000,2024,-0.09988572096196129,1
peter_zahradka_universityofmanitoba,1,1,0,0,,0,0,,47000,2014,0.3725602564455981,3
guy_dumont_universityofbritishcolumbia,1,1,1,1,"Online,Supplementary Information",1,1,Online,76000,2018,2.5166977112512123,4
jonathan_kofman_universityofwaterloo,1,1,1,1,Online,1,0,,33000,2016,0.060142309898761834,4
mojca_usaj_torontometropolitanuniversity,1,1,1,1,"Online,Supplementary Information",1,1,Online,41000,2021,0.20588559815205296,1
chibuike_udenigwe_universityofottawa,1,1,0,0,,0,0,,40000,2024,-0.4120276942045261,3
john_parkinson_universityoftoronto,6,6,6,5,"Online; Online,Supplementary Information; Supplementary Information",5,3,Online,50000,2019,0.7498699100552618,3
guy_cloutier_universitedemontreal,1,1,1,0,Supplementary Information,1,0,,69000,2011,1.8473595035791754,3
marcelo_marcetpalacios_universityofalberta,2,2,2,1,Online; Supplementary Information,1,1,Supplementary Information,30000,2020,-1.0253587406827143,1
maurice_chacron_mcgilluniversity,2,2,2,2,"Online,Supplementary Information",2,1,Online,48000,2009,0.4654938327017317,4
albert_vette_universityofalberta,2,2,1,0,Supplementary Information,0,0,,46000,2021,1.0849703594418632,2
khan_wahid_universityofsaskatchewan,1,1,0,0,,0,0,,39000,2018,-0.05655440072607002,3
jed_long_universityofwesternontario,1,1,0,0,,0,0,,25000,2020,-0.9260979085419547,1
leonardo_susta_universityofguelph,3,3,1,1,Online,2,0,,47000,2024,-0.4235326852305431,2
jeffrey_henderson_universityoftoronto,1,1,0,0,,1,0,,26000,2012,-0.8060332630642013,1
nathaniel_osgood_universityofsaskatchewan,3,3,2,2,"Online,Supplementary Information",3,2,Online,41000,2023,-0.19014019125062331,3
matthew_holahan_carletonuniversity,1,1,1,1,Online,0,0,,40000,2018,0.11664692554843353,4
longhai_li_universityofsaskatchewan,1,0,1,1,Online,1,0,,21000,2009,0.14261148530090498,3
kiran_soma_universityofbritishcolumbia,1,1,1,1,Online,0,0,,47000,2019,0.4538235108284043,4
jocelyn_faubert_universitedemontreal,3,3,3,2,Online; Supplementary Information,2,0,,49000,2015,1.1797425436325446,4
zongchao_jia_queensuniversity,1,1,1,1,"Online,Supplementary Information",0,0,,69000,2018,2.6477297350596283,4
steve_bilodeau_universitelaval,1,0,0,0,,1,0,,42000,2019,0.08635609707447879,2
robert_platt_mcgilluniversity,2,2,2,0,Supplementary Information,0,2,Supplementary Information,30000,2017,0.534693524242914,2
benjamin_zendel_memorialuniversityofnewfoundland,3,3,1,1,Online,1,0,,38000,2019,-0.16089455022621732,1
david_nobes_universityofalberta,1,1,0,0,,1,0,,32000,2019,-0.3975377818068473,4
colleen_stclair_universityofalberta,3,3,3,3,"Online; Online,Supplementary Information",2,2,Online,51000,2023,0.11182390184488707,2
julie_formankay_universityoftoronto,2,2,2,2,"Online,Supplementary Information",2,2,Online,67000,2011,2.668886929998363,3
marc_ekker_universityofottawa,1,1,1,0,Supplementary Information,0,1,Supplementary Information,71000,2012,4.528350325775631,2
matthew_brown_universityofalberta,1,1,1,1,Online,1,0,,34000,2018,-0.33650274852553186,1
jun_ding_mcgilluniversity,1,1,1,1,"Online,Supplementary Information",1,0,,31000,2022,-0.6746264249805476,1
francois_champoux_universitedemontreal,3,3,3,1,Online; Supplementary Information,1,0,,39000,2023,-0.4012380043285527,3
