Publication_Day,Publication_Month,Publication_Year,DOI,Primary_Topic_Field,Primary_Topic_Subfield,Corresponding_Author_Country,First_Author_Country,Data_Section_Text_Generated,Data_Generated,Data_Shared,Data_Location,DA_data,Accessions,URL_data,Repositories_data,Data_DOIs,Preprint_Match,Preprint_DOI,Preprint_Day,Preprint_Month,Preprint_Year,Preprint_URL,Preprint_Server,Code_Section_Text_Generated,Code_Generated,Code_Shared,Code_Location,Protocol_Shared,n_protocols,Protocol_Location,Protocol_Source,Protocol_URL,has_common_authors,Registration_Shared,Registries,Registration_Number,Registration,Mention_Number,Registration_Section_Reported,Registration_Detected_As,Quarter,source,Discipiline,combined_id,author_position,is_corresponding,publication_year,funders,nserc_top_year_5yr,nserc_top_award_5yr,nserc_top_z_5yr,nserc_top_year_all,n_awards_nserc,nserc_top_award_all,nserc_top_z_all
10,5,2024,10.1371/journal.pone.0297675,Medicine,Physiology,Canada,Canada,Method,TRUE,FALSE,NA,All relevant data are within the manuscript and its Supporting Information files.,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,TRUE,PROSPERO,1,"CRD42022314217,crd.york.ac.uk/prospero/display_record.php?ID=CRD42022314217",3,abstract;methods,"link,text",2024 Q2,PLOS,NA,marla_beauchamp_mcmasteruniversity,last,TRUE,2024,,NA,NA,NA,NA,NA,NA,NA
23,6,2021,10.1093/jncics/pkaa122,"Biochemistry, Genetics and Molecular Biology",Cancer Research,Canada,Canada,Method,TRUE,TRUE,Supplementary Information,data availability the data underlying this article cannot be shared publicly due to confidentiality agreements with sponsors of ongoing/completed phase i studies from princess margaret cancer centre. this is a deidentified secondary analysis. the data may be shared upon reasonable request to the corresponding author.,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,Method,TRUE,FALSE,NA,Yes,1,Journal,Nature Protocols,10.1038/nprot.2016.150,FALSE,FALSE,NA,NA,NA,NA,NA,NA,2021 Q2,Comparator,"DNA Mutational Analysis', 'Immune Checkpoint Inhibitors', 'Immunotherapy', 'Mutation Accumulation'",trevor_pugh_universityoftoronto,middle,FALSE,2020,,NA,NA,NA,NA,NA,NA,NA
28,2,2019,10.1371/journal.pone.0212886,Materials Science,Polymers and Plastics,Canada,Canada,Method,TRUE,FALSE,NA,All relevant data are within the manuscript.,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2019 Q1,PLOS,NA,zhenyue_miao_anhuispecialequipmentinspectioninstitute,middle,FALSE,2019,,NA,NA,NA,NA,NA,NA,NA
25,9,2019,10.1371/journal.pone.0221554,Health Professions,General Health Professions,Canada,Canada,Method,TRUE,FALSE,NA,Data are available on request. The de-identified dataset cannot be publicly shared as we do not have community or REB approval to do so. Data can be made available for researchers and trainees who meet criteria for accessing confidential study data. Criteria for accessing data are 1) being added as an AYAZAZI researcher or trainee to the SFU research ethics board application and 2) signing the AYAZAZI Data Sharing and Collaboration Agreement. Researchers interested in replication and/or verification of results may also qualify for accessing the data. Data requests should be emailed to AYAZAZIresearch@gmail.com. All emails requests will be assessed by the AYAZAZI data access committee.,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2019 Q3,PLOS,NA,thumbi_ndungu_universityofkwazulunatal,middle,FALSE,2019,,NA,NA,NA,NA,NA,NA,NA
1,12,2023,10.1371/journal.ppat.1011832,Medicine,Epidemiology,Canada,Canada,Method,TRUE,TRUE,"Online,Supplementary Information","Raw data associated with Figs 2D, 3E, 4B, 4C, 4E, 5B, 5C, 6B and 7E have been uploaded to Dryad and are accessible here: https://doi.org/10.5061/dryad.gtht76hsr",NA,https://doi.org/10.5061/dryad.gtht76hsr,Dryad Digital Repository,10.5061/dryad.gtht76hsr,TRUE,10.1101/2023.06.21.545979,21,6,2023,http://biorxiv.org/lookup/doi/10.1101/2023.06.21.545979,bioRxiv,NA,FALSE,FALSE,NA,Yes,1,Collection,Springer Protocols,10.1007/978-1-60761-652-8_30,FALSE,FALSE,NA,NA,NA,NA,NA,NA,2023 Q4,PLOS,NA,renee_finnen_queensuniversity,middle,TRUE,2023,,NA,NA,NA,NA,NA,NA,NA
1,12,2023,10.1371/journal.ppat.1011832,Medicine,Epidemiology,Canada,Canada,Method,TRUE,TRUE,"Online,Supplementary Information","Raw data associated with Figs 2D, 3E, 4B, 4C, 4E, 5B, 5C, 6B and 7E have been uploaded to Dryad and are accessible here: https://doi.org/10.5061/dryad.gtht76hsr",NA,https://doi.org/10.5061/dryad.gtht76hsr,Dryad Digital Repository,10.5061/dryad.gtht76hsr,TRUE,10.1101/2023.06.21.545979,21,6,2023,http://biorxiv.org/lookup/doi/10.1101/2023.06.21.545979,bioRxiv,NA,FALSE,FALSE,NA,Yes,1,Collection,Springer Protocols,10.1007/978-1-60761-652-8_30,FALSE,FALSE,NA,NA,NA,NA,NA,NA,2023 Q4,PLOS,NA,stephen_archer_queensuniversity,middle,TRUE,2023,,NA,NA,NA,NA,NA,NA,NA
26,10,2020,10.1371/journal.pgen.1008800,"Biochemistry, Genetics and Molecular Biology",Cell Biology,Canada,Canada,Method,TRUE,TRUE,"Online,Supplementary Information",All relevant data are within the manuscript and its Supporting Information files.,NA,https://www.ebi.ac.uk/Tools/msa/clustalo/,NA,NA,TRUE,10.1101/2020.04.27.063792,27,4,2020,http://biorxiv.org/lookup/doi/10.1101/2020.04.27.063792,bioRxiv,NA,FALSE,FALSE,NA,Yes,1,Journal,Nature Protocols,10.1038/nprot.2008.58,FALSE,FALSE,NA,NA,NA,NA,NA,NA,2020 Q4,PLOS,NA,c_roger_universityofcalgary,middle,FALSE,2020,,NA,NA,NA,NA,NA,NA,NA
25,4,2024,10.1371/journal.pgen.1011224,Medicine,Immunology and Allergy,Canada,Canada,Method,TRUE,TRUE,Supplementary Information,All relevant data are within the manuscript and its Supporting Information files.,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,Yes,2,"Collection,Journal","Springer Protocols,STAR Protocols","10.1007/978-1-61779-166-6_22,10.1016/j.xpro.2020.100291","False,False",FALSE,NA,NA,NA,NA,NA,NA,2024 Q2,PLOS,NA,guy_tanentzapf_universityofbritishcolumbia,last,TRUE,2024,,2024,74000,1.9385836867161306,2024,4,74000,2.312817779227279
20,1,2022,10.1371/journal.pone.0262094,Medicine,Infectious Diseases,Canada,Canada,Method,TRUE,FALSE,NA,"Data cannot be shared publicly as the data is confidential considering the fact that MSM are often a stigmatized population in India and sharing names of sites may put them at risk of harm. De-identified data can be made available upon request for researchers who meet criteria for access to confidential data. Interested researchers should contact Ms. Pravara Amreliya, who is the lead for the Knowledge Management Unit for IHAT. Her email address is: pravara.amreliya@ihat.in. The first author and corresponding author are also available to facilitate access to the data upon formal request and following formal approval.",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2022 Q1,PLOS,NA,purnima_parmar_nationalaidscontrolorganisation,middle,FALSE,2022,,NA,NA,NA,NA,NA,NA,NA
20,2,2020,10.1371/journal.pone.0229099,Psychology,Social Psychology,Canada,Canada,Method,TRUE,TRUE,Supplementary Information,All relevant data are within the manuscript and its Supporting Information files.,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2020 Q1,PLOS,NA,laurence_bomafischer_stmichaelshospital,middle,FALSE,2020,,NA,NA,NA,NA,NA,NA,NA
